1,Id,Name,Address,Type,In Tx,Out Tx,In ETH,Out ETH,In USD,Out USD,Paying,Paid,,,,,,,,,,,,,,,,
83,90,EtherAds,0x1bb6123913d0b48948de38c3b75fd3eb3b4fe7e3,chain-shaped,3,0,0,0,$0,$0.00,0,0,,,,,,,,,,,,,,,,
84,91,Doubler1,0x7d3ae940eb73dc9131758ad2e326c7d863b0916a,chain-shaped,2,0,0.01,0,$0,$0.00,1,0,,,,,,,,,,,,,,,,
85,93,MultiplyX10,0xe7f06e64e0d04c6cfedf7e9079d56d0fb7200a2e,chain-shaped,3,0,3.00001,0,$25,$0.00,2,0,,,,,,,,,,,,,,,,
86,94,squareRootPonzi,0x8ea6c8077d6316b46e449aec8fb60a606cf50eea,chain-shaped,2,0,0.005,0,$0,$0.00,1,0,,,,,,,,,,,,,,,,
87,98,BigRisk1,0xa26b0a2fc7702ac3cdd4d578df7ef87ecf17908e,chain-shaped,1,0,0,0,$0,$0.00,0,0,,,,,,,,,,,,,,,,
88,100,Copypaste,0xba3048b17d1e8c1412ea29af9af795786065b5f9,chain-shaped,1,0,0,0,$0,$0.00,0,0,,,,,,,,,,,,,,,,
89,101,DFS,0x723dff0e27cc38b80556f5e05dfdbdcb721654d7,chain-shaped,68,236,41,40.92,$408,$363.62,6,15,,,,,,,,,,,,,,,,
90,102,EthBank,0x60acd43314d93f38507f3fd12e84225a5a099229,chain-shaped,225,0,0,0,$0,$0.00,0,0,,,,,,,,,,,,,,,,
91,103,Kardashian,0xf93ca51746ce6e1cc2485c534eebe71ae987a7ad,chain-shaped,252,0,0,0,$0,$0.00,0,0,,,,,,,,,,,,,,,,
92,104,LittleEthereumDoubler,0x83651a62b632c261442f396ad7202fe2a4995e3a,chain-shaped,1,0,0,0,$0,$0.00,0,0,,,,,,,,,,,,,,,,
93,105,NiceGuyPonzi1,0xe1388626c8de5fd7e5683a83d8da6a34153e9b18,chain-shaped,1,0,0,0,$0,$0.00,0,0,,,,,,,,,,,,,,,,
